                                               Journal            ID
3                      Agricultural and Food Economics  10419-179045
4                      Agricultural and Food Economics  10419-179051
157                    Agricultural and Food Economics  10419-186035
60                         Amfiteatru Economic Journal  10419-168672
58                         Amfiteatru Economic Journal  10419-167689
57                         Amfiteatru Economic Journal  10419-162570
56                         Amfiteatru Economic Journal  10419-162569
55                         Amfiteatru Economic Journal  10419-210576
54                         Amfiteatru Economic Journal  10419-206222
53                         Amfiteatru Economic Journal  10419-206215
51                         Amfiteatru Economic Journal  10419-205595
59                         Amfiteatru Economic Journal  10419-167738
137                        Amfiteatru Economic Journal  10419-198291
99                         Amfiteatru Economic Journal  10419-198303
105                        Amfiteatru Economic Journal  10419-210607
39                         Amfiteatru Economic Journal  10419-196457
38                         Amfiteatru Economic Journal  10419-196413
52                         Amfiteatru Economic Journal  10419-205710
61                         Amfiteatru Economic Journal  10419-168687
63                         Amfiteatru Economic Journal  10419-168689
37                         Amfiteatru Economic Journal  10419-196402
64                         Amfiteatru Economic Journal  10419-168690
65                         Amfiteatru Economic Journal  10419-168802
66                         Amfiteatru Economic Journal  10419-168803
67                         Amfiteatru Economic Journal  10419-168804
68                         Amfiteatru Economic Journal  10419-168805
69                         Amfiteatru Economic Journal  10419-168806
131                        Amfiteatru Economic Journal  10419-198075
72                         Amfiteatru Economic Journal  10419-168877
73                         Amfiteatru Economic Journal  10419-168957
74                         Amfiteatru Economic Journal  10419-168966
75                         Amfiteatru Economic Journal  10419-168978
136                        Amfiteatru Economic Journal  10419-198288
132                        Amfiteatru Economic Journal  10419-198082
62                         Amfiteatru Economic Journal  10419-168688
36                         Amfiteatru Economic Journal  10419-195955
104                        Amfiteatru Economic Journal  10419-210583
34                         Amfiteatru Economic Journal  10419-178599
14                         Amfiteatru Economic Journal  10419-168713
15                         Amfiteatru Economic Journal  10419-168746
16                         Amfiteatru Economic Journal  10419-168757
17                         Amfiteatru Economic Journal  10419-168758
18                         Amfiteatru Economic Journal  10419-168759
19                         Amfiteatru Economic Journal  10419-168762
35                         Amfiteatru Economic Journal  10419-182375
20                         Amfiteatru Economic Journal  10419-168824
21                         Amfiteatru Economic Journal  10419-168876
22                         Amfiteatru Economic Journal  10419-168909
23                         Amfiteatru Economic Journal  10419-168953
24                         Amfiteatru Economic Journal  10419-168955
25                         Amfiteatru Economic Journal  10419-168956
27                         Amfiteatru Economic Journal  10419-168960
26                         Amfiteatru Economic Journal  10419-168957
29                         Amfiteatru Economic Journal  10419-169050
2                          Amfiteatru Economic Journal  10419-168925
33                         Amfiteatru Economic Journal  10419-177850
30                         Amfiteatru Economic Journal  10419-169051
28                         Amfiteatru Economic Journal  10419-169011
147                                     Applied Energy  10419-146858
106                        Baltic Journal of Economics  10419-210618
114                                 CES Working Papers  10419-205495
115                                 CES Working Papers  10419-170696
87                                  CES Working Papers  10419-197031
89                                  CES Working Papers  10419-197098
88                                  CES Working Papers  10419-197072
90                                  CES Working Papers  10419-198056
91                                  CES Working Papers  10419-198077
117                                 CES Working Papers  10419-148422
116                                 CES Working Papers  10419-205468
118                                 CES Working Papers  10419-162762
92                                  CES Working Papers  10419-198080
127                                 CES Working Papers  10419-198056
112                                 CES Working Papers  10419-182264
111                                 CES Working Papers  10419-168810
126                                 CES Working Papers  10419-195494
125                                 CES Working Papers  10419-194729
124                                 CES Working Papers  10419-183123
123                                 CES Working Papers  10419-180087
122                                 CES Working Papers  10419-172008
121                                 CES Working Papers  10419-168759
86                                  CES Working Papers  10419-196452
110                                 CES Working Papers  10419-168437
109                                 CES Working Papers  10419-161789
113                                 CES Working Papers  10419-183498
85                                  CES Working Papers  10419-196439
81                                  CES Working Papers  10419-174869
83                                  CES Working Papers  10419-196423
159                                 CES Working Papers  10419-193919
153                                 CES Working Papers  10419-168750
152                                 CES Working Papers  10419-167772
151                                 CES Working Papers  10419-163569
142                                 CES Working Papers  10419-198428
141                                 CES Working Papers  10419-198383
140                                 CES Working Papers  10419-198375
42                                  CES Working Papers  10419-196475
84                                  CES Working Papers  10419-196430
44                                  CES Working Papers  10419-197068
45                                  CES Working Papers  10419-197076
43                                  CES Working Papers  10419-196482
120                                 CES Working Papers  10419-168685
82                                  CES Working Papers  10419-195492
80                                  CES Working Papers  10419-174588
79                                  CES Working Papers  10419-170534
119                                 CES Working Papers  10419-167746
139                                 CES Working Papers  10419-198371
12                        Cogent Business & Management  10419-206180
47                        Cogent Business & Management  10419-198277
48                        Cogent Business & Management  10419-198368
107                         Cogent Economics & Finance  10419-210619
108                             Contemporary Economics  10419-146836
71                              Contemporary Economics  10419-168819
1                                   Decision Analytics  10419-161798
70   Economics: The Open-Access, Open-Assessment E-...  10419-168808
135  Economics: The Open-Access, Open-Assessment E-...  10419-198278
133  Economics: The Open-Access, Open-Assessment E-...  10419-198110
102  Economics: The Open-Access, Open-Assessment E-...  10419-198531
155  Economics: The Open-Access, Open-Assessment E-...  10419-169378
100  Economics: The Open-Access, Open-Assessment E-...  10419-198368
160  Economics: The Open-Access, Open-Assessment E-...  10419-196403
32   Economics: The Open-Access, Open-Assessment E-...  10419-177283
138                                          Economies  10419-198338
162                                          Economies  10419-197070
78                                           Economies  10419-169033
103                                          Economies  10419-198532
40                                           Economies  10419-196458
76                                           Economies  10419-168987
77                                           Economies  10419-169012
161                                          Economies  10419-196468
41                                           Economies  10419-196470
50                                           Economies  10419-200123
145                                     Energy Reports  10419-198523
156                       Foresight and STI Governance  10419-177283
128                       Foresight and STI Governance  10419-198057
94                        Foresight and STI Governance  10419-198103
